"filename","folder","source__sourceImage","source__sourceAnnotation","object__name","object__deleted","object__verified","object__occluded","object__attributes","object__parts__hasparts","object__parts__ispartof","object__date","object__id","object__polygon__username","object__polygon__pt__x","object__polygon__pt__y","imagesize__nrows","imagesize__ncols"
"18.jpg","art","The MIT-CSAIL database of objects and scenes","LabelMe Webtool","test","1","0","","test","","","24-Jul-2019 15:26:52","0","WorkerID","332","283","",""
"","","","","pic","0","0","","texture","","","25-Jul-2019 09:17:46","1","AFRSASN33QBC3","322","92","",""
"","","","","","","","","","","","","","","462","79","",""
"","","","","","","","","","","","","","","454","130","",""
"","","","","","","","","","","","","","","480","276","",""
"","","","","","","","","","","","","","","474","391","",""
"","","","","","","","","","","","","","","474","495","",""
"","","","","","","","","","","","","","","436","566","",""
"","","","","","","","","","","","","","","418","571","",""
"","","","","","","","","","","","","","","414","633","",""
"","","","","","","","","","","","","","","408","681","",""
"","","","","","","","","","","","","","","356","667","",""
"","","","","","","","","","","","","","","368","512","",""
"","","","","","","","","","","","","","","361","356","",""
"","","","","","","","","","","","","","","344","251","",""
"","","","","1","0","0","","facial","","","25-Jul-2019 09:18:05","2","AFRSASN33QBC3","223","100","",""
"","","","","","","","","","","","","","","316","162","",""
"","","","","","","","","","","","","","","355","522","",""
"","","","","","","","","","","","","","","346","631","",""
"","","","","","","","","","","","","","","320","696","",""
"","","","","","","","","","","","","","","252","707","",""
"","","","","","","","","","","","","","","216","690","",""
"","","","","","","","","","","","","","","204","634","",""
"","","","","","","","","","","","","","","205","503","",""
"","","","","","","","","","","","","","","225","386","",""
"","","","","","","","","","","","","","","210","284","",""
"","","","","2","0","0","","age","","","25-Jul-2019 09:18:24","3","AFRSASN33QBC3","109","36","",""
"","","","","","","","","","","","","","","207","42","",""
"","","","","","","","","","","","","","","208","222","",""
"","","","","","","","","","","","","","","199","436","",""
"","","","","","","","","","","","","","","202","622","",""
"","","","","","","","","","","","","","","306","735","",""
"","","","","","","","","","","","","","","248","764","",""
"","","","","","","","","","","","","","","97","758","",""
"","","","","","","","","","","","","","","57","762","",""
"","","","","","","","","","","","","","","45","729","",""
"","","","","","","","","","","","","","","63","531","",""
"","","","","","","","","","","","","","","39","406","",""
"","","","","","","","","","","","","","","47","316","",""
"","","","","","","","","","","","","","","66","216","",""
"","","","","","","","","","","","","","","97","97","",""
"","","","","4","0","0","","shape","","","25-Jul-2019 09:18:43","4","AFRSASN33QBC3","540","287","",""
"","","","","","","","","","","","","","","636","305","",""
"","","","","","","","","","","","","","","735","403","",""
"","","","","","","","","","","","","","","740","488","",""
"","","","","","","","","","","","","","","746","577","",""
"","","","","","","","","","","","","","","737","684","",""
"","","","","","","","","","","","","","","694","737","",""
"","","","","","","","","","","","","","","557","731","",""
"","","","","","","","","","","","","","","463","759","",""
"","","","","","","","","","","","","","","430","738","",""
"","","","","","","","","","","","","","","405","698","",""
"","","","","","","","","","","","","","","436","619","",""
"","","","","","","","","","","","","","","445","512","",""
"","","","","","","","","","","","","","","479","441","",""
"","","","","","","","","","","","","","","534","374","",""
"","","","","5","0","0","","color","","","25-Jul-2019 09:18:54","5","AFRSASN33QBC3","559","29","",""
"","","","","","","","","","","","","","","670","65","",""
"","","","","","","","","","","","","","","731","335","",""
"","","","","","","","","","","","","","","734","373","",""
"","","","","","","","","","","","","","","565","276","",""
