,img_name,worker_id,img_desc
0,1.jpg,A1SCA9REYZD5W2,"Mona Lisa Painting ,  Leonardo da Vinci ,  Mona Lisa's Smile ,  Black Beauty ,  Human Optical Illusion ,  Famous Painting"
1,1.jpg,A2E9KS4RK6T8CW,"interesting, beautiful, lovely, awesome, great"
2,1.jpg,A2HC04434S9TP0,"painting, famous, forest, lake, dark, woman"
3,1.jpg,A2M3QMJC99DERS,"woman, smile, long hair, brown, calm"
4,1.jpg,A2NV315LQL2QZ7,"gray,classic, art, trees,woman"
5,1.jpg,A2NVNFIOKLEEGY,"hand, nose, head, dress, mountain, "
6,1.jpg,A2YCAVLQK6YRH9,"really complicated, but it's mona lisa. "
7,1.jpg,A3RERXGQS1129K,"smiling woman, forerest, mountain scenory, dark backgorund,and sophistocated pose. "
8,1.jpg,AIN29LNXRARXY,"portrait, lady, landscape background, enigmatic expression, Gioconda, Leonardo Da Vinci, sixteenth century, natural light"
9,1.jpg,AOV97Z3YMKLAQ,"Mona Lisa, Leonardo da Vinci, Art, Painting, Famous"
10,1.jpg,WorkerID,"Expression,Brightness,shape,structure,amazing"
11,1.jpg,ZCgDVlkp5,"Mona Lisa"
12,11.jpg,A13JDB1LY9ZTQY,"romantic, soft, nighttime, outdoor, urban"
13,11.jpg,A1CJ8CLM7987EQ,"night, restaurant, eating, warm"
14,11.jpg,A1Q995BGGPBDMB,"night time, cafe, romantic"
15,11.jpg,A267H808C339ZQ,WALL WINDOWS CHAIR DESK AND TREE
16,11.jpg,A2HC04434S9TP0,"night, fun, city, bar, drinks"
17,11.jpg,A2LD0G04R6MNX7,peoples eating dinner in the restaurant
18,11.jpg,A2MOY7J4GG5CW8,"night, old, grainy, vertical, urban, 2-d"
19,11.jpg,A2NVNFIOKLEEGY,"house, tree, street, door, window"
20,11.jpg,A2OMYDY8G8PNJE,"night, street, outside, patio, shop"
21,11.jpg,A35Q0ZG3C7ZFP,"table,chair,restaurant,old man,lady,tree,house,"
22,11.jpg,A3EQKTEL74N09A,"Night, town, restaurant, patio, stars, cobblestone, cafe, gathering, tree"
23,11.jpg,A3O9QZA6B3CY7U,road and peolpe
24,11.jpg,A3TAM79PCXOLXI,"Vague, dining area with tables and chairs, starry night, trees and shops"
25,11.jpg,adam.kerr27@yahoo.com,"Van Gogh, vibrant color, french, restaurant/bar, dining"
26,11.jpg,AIN29LNXRARXY,"night, nightlife, outdoor, cafe, stars, street"
27,11.jpg,WorkerIDAXPUKBI6UNZY,A ONE MAN WAS AT WORKING IN DINING HALL 
28,17.jpg,A115BHSWY8R1KU,"sweet, couple, family, victorian, romantic"
29,17.jpg,A16HYGH5YO5EAF,"pregnant women, dog, ,man, handshake, room, mirror, shoes, window, open window, door, green dress, black dress, wall hanging, hat"
30,17.jpg,A1CJ8CLM7987EQ,"greeting, religious, dog, dark and light"
31,17.jpg,A1GUNTMI2Y61IW,"pregnant woman, bedroom, tranquility, peace, blessing"
32,17.jpg,A1ZV750GWIA00,"saturated, old, fashion, dog, bedroom"
33,17.jpg,A2NVNFIOKLEEGY,"dog, dress, cap, room, window"
34,17.jpg,A2OMYDY8G8PNJE,"people, intimate, bedroom, detailed, realistic"
35,17.jpg,A396GA8SHS2L41,"fanciful, capricious, medieval, gorgeous, realistic"
36,17.jpg,A3KB2DY7SADI3Z,man with pregnant lady with their pet dog 
37,17.jpg,A3NTSR7Z32TDOE,"peaceful, creepy, old, dark, gloomy"
38,17.jpg,A3TAM79PCXOLXI,"couple in bedroom with dog. Expensive room, chandelier, mirror."
39,17.jpg,AOV97Z3YMKLAQ,"painting, couple, art, classic, oil paint, pregnant, middle ages"
40,17.jpg,parulsharmab91@gmail.com,bedroom scene
41,18.jpg,A1CJ8CLM7987EQ,"abstract, painting, naked, people, poses"
42,18.jpg,A1J6BOZEB8EADQ,"scared, confused, imaginative, creative, inspired"
43,18.jpg,A1O39KN3X6AEG7,"four women and a weird man, not many clothes, "
44,18.jpg,A2HC04434S9TP0,"Women, surprise, dancing, posing , unhappy"
45,18.jpg,A2MOY7J4GG5CW8,"light colors, sharp edges, figures, modern, vertical"
46,18.jpg,A2NVNFIOKLEEGY,"face, hand, leg, rock, hair"
47,18.jpg,A34CLFMP19G4NU,"five women, naked, pale, flat faces, masks, prostitutes"
48,18.jpg,A396GA8SHS2L41,"scandalous, nudist, disproportional, bizarre, impressive "
49,18.jpg,A3AW2HADUSB7JD,"group, sexual, nudity, abstract, human, expressive, impressive, neutral, natural, "
50,18.jpg,A3KO36PYNA5IHQ,"Weird, historic, drunk artist, weird shapes, 2d"
51,18.jpg,A3TAM79PCXOLXI,"abstract, females, naked, body distortion, weird, mash-up"
52,18.jpg,A685WMI1QRZHE,"ROCK, "
53,18.jpg,AD4JF27PRR61,"cavemen, naked, humans, posing, drawing"
54,18.jpg,AFRSASN33QBC3,"actual, simulated, abstract, and invented texture."
55,18.jpg,AIN29LNXRARXY,"women, naked, full-length portrait, stylized, grapes"
56,2.jpg,A1CJ8CLM7987EQ,"night, breeze, oil, colourful, bold"
57,2.jpg,A2CO8IM74HLYTL,"A big tree on the left side with houses, stars and the moon"
58,2.jpg,A2E9KS4RK6T8CW,"interesting, beautiful, wonderful, awesome, the best"
59,2.jpg,A2HC04434S9TP0,"Sun, Church, City, Dark, Night, trees"
60,2.jpg,A2M3QMJC99DERS,"night, swirls, starry, van gogh, blue, moon"
61,2.jpg,A2MOY7J4GG5CW8,"turbulent, night, thick brush strokes, fluid, rural, "
62,2.jpg,A2NVNFIOKLEEGY,"moon, sky, house, mountain, wind"
63,2.jpg,A396GA8SHS2L41,"astounding, strange, fluidic, beautiful, dream, night"
64,2.jpg,AC9P9SHL0IXBL,Nighttime landscape with illuminated village
65,2.jpg,AOV97Z3YMKLAQ,"sky, moonlight, sphere, greenish, abstract"
66,4.jpg,A1FC701BZE1HZM,right side a picture of a women looking at the camera
67,4.jpg,A1NZ4C0GO5HS87,the high end equivalent of today's professional portrait
68,4.jpg,A1QC6WNXRWWPCC,"ear, right eye, nose, dress"
69,4.jpg,A2F9FURICZCOY3,Cute Girl
70,4.jpg,A2HC04434S9TP0,"girl, dark background, expression, face, looks"
71,4.jpg,A2M3QMJC99DERS,"young woman, portrait, scarf, pearl earring, headscarf"
72,4.jpg,A2MDR0R3KTYTGV,"beautiful, dark, somber, interesting, poignant, searching"
73,4.jpg,A2NVNFIOKLEEGY,"eyes, nose, dress, face, head"
74,4.jpg,A300NSYGWVGOMM,"Girl, headscarf, pearl, earring, enigmatic"
75,4.jpg,A3RQVHWHESFK4D,"girl, looking over shoulder, smiling, young, head scarf"
76,4.jpg,AIN29LNXRARXY,"earring, portrait, pearl, seventeenth century, Vermeer"
77,4.jpg,AOV97Z3YMKLAQ,"face, girl, painting, photo, blond"
78,4.jpg,AVDWQ1G129G4D,"women,looking front.sideview,with cloth on her hair"
79,5.jpg,:%20COPIEDA3UMDMF589FDPZ,"light,window,man,women,horse,candle,toe"
80,5.jpg,A1GUNTMI2Y61IW,"Animals suffering, people screaming, Fire, horror, dead and mutilated people, suffering, agony "
81,5.jpg,A1STWPAYOSCOSH,"ominous, dark, foreboding, chaotic, mysterious, sadness, pain, torture, "
82,5.jpg,A1X9BD3KDIA2QB,"abstract, confuse, expression,caos,life"
83,5.jpg,A25OEEJDN7EGJE,"painful,  sad,  multiform,  evocative,  upsetting"
84,5.jpg,A2HC04434S9TP0,"ghosts, hands, legs, harms war, fight, dark, surprise, suffering, sword, room"
85,5.jpg,A2NVNFIOKLEEGY,"ear, nose, leg, eyes, hand"
86,5.jpg,A396GA8SHS2L41,"Bold, impressive, dramatic, chaotic, terrific, scandalous, astounding, provocative"
87,5.jpg,A3ISOGMY4IZJQ8,"chaotic, abstract, suffering, worried, agony"
88,5.jpg,A9C41TYGHOSWI,"Chaotic, terror, confusion, anger, fear"
89,5.jpg,ARZ9KWKL0P8ND,"Surreal, mixed media, collage, black & white, chaotic"
90,5.jpg,WorkerIDA13JDB1LY9ZTQY,"chaotic, violent, grayscale, distorted, strange"
91,5.jpg,WorkerIDA2HCPK7302F0V6,"disturbing,dark,death,fear, despair"
